frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,__target__
5000,19.0,0.1524,31.7,0.00525474,115.691
4000,26.0,0.1524,71.3,0.0193001,115.079
1600,0.0,0.1016,31.7,0.00150092,133.553
2500,0.0,0.1016,55.5,0.00131983,133.04
1250,25.0,0.0254,55.5,0.0043284,132.202
400,8.0,0.0254,31.7,0.0176631,120.766
630,11.0,0.1524,71.3,0.00243851,127.404
4000,12.0,0.0254,71.3,0.0214178,123.917
12500,0.0,0.1524,55.5,0.00172668,117.093
1000,19.0,0.1524,31.7,0.00525474,128.241
1250,0.0,0.3048,39.6,0.00310138,125.499
500,26.0,0.1524,55.5,0.0208438,127.815
4000,22.0,0.2286,31.7,0.0132672,112.639
800,0.0,0.3048,31.7,0.00331266,129.235
500,20.0,0.1016,55.5,0.0052139,129.343
800,24.0,0.1016,71.3,0.0103088,137.813
12500,17.0,0.0254,71.3,0.000848633,127.688
1600,24.0,0.1016,39.6,0.0124596,123.82
630,0.0,0.1524,31.7,0.00209405,125.997
6300,13.0,0.3048,39.6,0.00495741,114.042
1000,6.0,0.0508,39.6,0.0282593,127.893
315,15.0,0.2286,31.7,0.00509068,123.609
10000,0.0,0.2286,71.3,0.00214345,118.134
200,26.0,0.1524,55.5,0.0208438,131.955
1600,13.0,0.3048,71.3,0.00425727,126.514
315,20.0,0.1016,31.7,0.00592927,126.266
8000,14.0,0.1016,31.7,0.00251435,117.432
1600,26.0,0.1524,71.3,0.0193001,121.789
250,6.0,0.0508,71.3,0.0264269,124.835
2500,25.0,0.0254,39.6,0.00449821,131.234
8000,0.0,0.0508,55.5,0.00076193,130.156
400,24.0,0.1016,39.6,0.0124596,135.54
8000,0.0,0.1016,39.6,0.00146332,122.341
1250,9.0,0.0508,71.3,0.0341183,121.485
1600,6.0,0.0508,31.7,0.0289853,121.485
6300,22.0,0.2286,71.3,0.0104404,115.818
3150,0.0,0.3048,39.6,0.00310138,120.319
12500,0.0,0.0254,55.5,0.00041229,131.453
4000,19.0,0.1524,39.6,0.00485029,117.137
315,26.0,0.1524,39.6,0.0233328,128.595
4000,24.0,0.1016,71.3,0.0103088,120.243
400,23.0,0.0508,39.6,0.00566229,120.015
1600,15.0,0.3048,71.3,0.00497773,126.645
5000,24.0,0.1016,39.6,0.0124596,113.08
5000,10.0,0.2286,55.5,0.00313525,120.472
4000,6.0,0.0508,39.6,0.0282593,118.113
1000,3.0,0.1016,55.5,0.0368233,125.484
500,21.0,0.1524,39.6,0.00909175,132.658
3150,10.0,0.2286,31.7,0.00372371,121.527
4000,2.0,0.0508,39.6,0.0150478,115.52
630,23.0,0.0508,31.7,0.00580776,125.856
2500,13.0,0.3048,39.6,0.00495741,120.162
400,4.0,0.1524,39.6,0.0584113,115.91
8000,0.0,0.1016,71.3,0.00121072,125.465
500,5.0,0.0254,39.6,0.0130253,127.127
800,25.0,0.0254,55.5,0.0043284,128.082
500,15.0,0.2286,55.5,0.0042862,127.314
1600,16.0,0.0508,71.3,0.00142788,124.318
3150,22.0,0.2286,55.5,0.0111706,117.134
4000,8.0,0.0254,55.5,0.0165706,121.771
6300,3.0,0.1016,71.3,0.0337792,113.958
400,5.0,0.0254,39.6,0.0130253,125.527
1000,15.0,0.2286,55.5,0.0042862,132.134
500,3.0,0.1016,31.7,0.0418756,118.667
1600,5.0,0.0254,71.3,0.0121808,134.528
1250,18.0,0.2286,39.6,0.00614329,125.721
500,8.0,0.0254,55.5,0.0165706,119.621
6300,0.0,0.3048,71.3,0.00266337,119.541
400,10.0,0.2286,55.5,0.00313525,122.292
800,12.0,0.0254,39.6,0.0229028,137.076
1000,15.0,0.2286,31.7,0.00509068,129.869
1250,21.0,0.1524,71.3,0.00752039,132.513
800,15.0,0.2286,55.5,0.0042862,131.864
6300,0.0,0.0254,31.7,0.000439472,138.537
400,6.0,0.0508,39.6,0.0282593,125.353
6300,15.0,0.2286,55.5,0.0042862,117.154
200,2.0,0.0508,39.6,0.0150478,125.01
400,13.0,0.3048,55.5,0.00452492,126.159
1250,6.0,0.0508,71.3,0.0264269,130.845
1250,7.0,0.1016,71.3,0.0437259,123.178
800,0.0,0.0508,31.7,0.000812164,122.79
4000,18.0,0.2286,71.3,0.0051942,120.33
630,7.0,0.1016,39.6,0.0528487,118.084
16000,0.0,0.0254,71.3,0.000400682,130.477
6300,6.0,0.0508,39.6,0.0282593,109.663
2000,0.0,0.0508,55.5,0.00076193,131.456
6300,0.0,0.3048,55.5,0.00283081,117.976
250,22.0,0.2286,71.3,0.0104404,139.918
400,9.0,0.0508,39.6,0.036484,130.614
6300,5.0,0.0254,71.3,0.0121808,125.398
1000,19.0,0.1524,55.5,0.00433288,132.127
200,22.0,0.2286,31.7,0.0132672,128.679
1250,13.0,0.3048,55.5,0.00452492,127.329
4000,0.0,0.0254,31.7,0.000439472,137.047
5000,0.0,0.1016,31.7,0.00150092,124.393
1250,10.0,0.2286,31.7,0.00372371,128.677
6300,0.0,0.1016,71.3,0.00121072,129.395
800,17.0,0.0254,39.6,0.000907475,120.766
1600,0.0,0.2286,39.6,0.00253511,127.095
250,4.0,0.1524,71.3,0.0483159,129.744
6300,17.0,0.0254,31.7,0.000930789,132.898
2500,3.0,0.1016,31.7,0.0418756,110.317
3150,3.0,0.1016,71.3,0.0337792,120.798
3150,4.0,0.1524,71.3,0.0483159,113.334
630,0.0,0.3048,55.5,0.00283081,127.696
315,26.0,0.1524,31.7,0.0252785,128.809
12500,0.0,0.0508,31.7,0.000812164,119.07
630,15.0,0.2286,31.7,0.00509068,130.349
1000,25.0,0.0254,55.5,0.0043284,130.332
315,24.0,0.1016,71.3,0.0103088,136.583
500,15.0,0.2286,71.3,0.00400603,126.758
1000,10.0,0.2286,39.6,0.00346574,129.147
5000,22.0,0.2286,39.6,0.0123481,111.959
630,10.0,0.2286,31.7,0.00372371,129.057
1600,20.0,0.1016,71.3,0.00478288,136.678
3150,7.0,0.1016,71.3,0.0437259,116.468
1600,0.0,0.0508,55.5,0.00076193,128.576
5000,10.0,0.2286,71.3,0.00293031,122.816
3150,10.0,0.2286,39.6,0.00346574,121.627
1600,14.0,0.1016,31.7,0.00251435,133.402
800,5.0,0.0254,39.6,0.0130253,130.217
4000,10.0,0.2286,31.7,0.00372371,120.527
400,24.0,0.1016,71.3,0.0103088,138.123
1250,15.0,0.2286,55.5,0.0042862,131.264
2500,18.0,0.2286,71.3,0.0051942,123.74
1250,5.0,0.0254,71.3,0.0121808,133.048
6300,0.0,0.0508,31.7,0.000812164,130.34
630,0.0,0.1524,55.5,0.00172668,123.583
1600,4.0,0.1524,39.6,0.0584113,110.78
5000,16.0,0.0508,71.3,0.00142788,132.828
8000,13.0,0.3048,71.3,0.00425727,114.634
250,6.0,0.0508,55.5,0.0271925,124.17
5000,13.0,0.3048,71.3,0.00425727,118.134
6300,26.0,0.1524,31.7,0.0252785,108.689
6300,25.0,0.0254,71.3,0.00420654,127.246
200,26.0,0.1524,39.6,0.0233328,127.315
400,22.0,0.2286,55.5,0.0111706,135.924
5000,0.0,0.3048,55.5,0.00283081,119.606
1600,14.0,0.1016,55.5,0.002211,133.649
6300,8.0,0.0254,71.3,0.016104,119.916
3150,23.0,0.0508,31.7,0.00580776,122.086
630,26.0,0.1524,71.3,0.0193001,129.889
2000,17.0,0.0254,39.6,0.000907475,128.916
400,25.0,0.0254,39.6,0.00449821,121.154
1000,7.0,0.1016,39.6,0.0528487,119.224
3150,24.0,0.1016,71.3,0.0103088,123.263
2000,0.0,0.3048,31.7,0.00331266,122.375
315,6.0,0.0508,31.7,0.0289853,122.845
10000,0.0,0.3048,55.5,0.00283081,113.076
500,0.0,0.1524,39.6,0.00193287,119.513
2000,0.0,0.0254,39.6,0.000428464,130.026
2500,0.0,0.2286,71.3,0.00214345,128.354
500,0.0,0.3048,55.5,0.00283081,126.416
2500,0.0,0.1524,31.7,0.00209405,125.867
800,19.0,0.1524,71.3,0.00401199,131.281
250,8.0,0.0254,71.3,0.016104,113.796
8000,21.0,0.1524,71.3,0.00752039,113.333
3150,6.0,0.0508,55.5,0.0271925,123.46
2500,15.0,0.3048,39.6,0.00579636,120.233
1000,6.0,0.0508,31.7,0.0289853,124.525
315,25.0,0.0254,39.6,0.00449821,119.294
630,26.0,0.1524,39.6,0.0233328,126.465
1000,18.0,0.2286,71.3,0.0051942,134.0
2500,18.0,0.2286,39.6,0.00614329,116.151
4000,8.0,0.0254,71.3,0.016104,125.586
2000,26.0,0.1524,31.7,0.0252785,116.859
800,18.0,0.2286,39.6,0.00614329,129.491
1600,0.0,0.1524,55.5,0.00172668,130.183
200,7.0,0.1016,39.6,0.0528487,123.514
1000,0.0,0.3048,31.7,0.00331266,127.365
10000,16.0,0.0508,71.3,0.00142788,121.238
1000,15.0,0.2286,71.3,0.00400603,131.708
500,23.0,0.0508,31.7,0.00580776,122.966
8000,5.0,0.0254,71.3,0.0121808,120.538
4000,2.0,0.0508,71.3,0.014072,122.471
500,22.0,0.2286,39.6,0.0123481,130.299
6300,0.0,0.1016,39.6,0.00146332,125.631
1250,17.0,0.0254,39.6,0.000907475,125.026
4000,16.0,0.0508,71.3,0.00142788,133.598
5000,6.0,0.0508,55.5,0.0271925,117.11
6300,0.0,0.3048,39.6,0.00310138,116.229
1000,21.0,0.1524,39.6,0.00909175,128.338
4000,8.0,0.0254,31.7,0.0176631,121.996
2500,0.0,0.2286,31.7,0.0027238,123.445
2500,25.0,0.0254,71.3,0.00420654,135.956
800,13.0,0.3048,55.5,0.00452492,129.949
3150,5.0,0.0254,71.3,0.0121808,133.758
630,8.0,0.0254,71.3,0.016104,122.606
630,10.0,0.2286,39.6,0.00346574,127.417
6300,16.0,0.0508,71.3,0.00142788,129.308
1000,19.0,0.1524,71.3,0.00401199,133.201
4000,17.0,0.0254,55.5,0.000873218,133.924
10000,0.0,0.1016,55.5,0.00131983,121.93
4000,21.0,0.1524,71.3,0.00752039,119.343
630,20.0,0.1016,71.3,0.00478288,131.448
5000,0.0,0.0254,71.3,0.000400682,136.837
1600,25.0,0.0254,31.7,0.00461377,131.036
5000,22.0,0.2286,71.3,0.0104404,115.298
2000,1.0,0.3048,39.6,0.00392107,122.101
6300,14.0,0.1016,31.7,0.00251435,120.702
2500,21.0,0.1524,71.3,0.00752039,124.353
6300,10.0,0.2286,31.7,0.00372371,115.137
2500,7.0,0.1016,39.6,0.0528487,110.264
3150,22.0,0.2286,71.3,0.0104404,120.458
10000,5.0,0.0254,39.6,0.0130253,116.017
1000,17.0,0.0254,39.6,0.000907475,122.956
2000,1.0,0.3048,71.3,0.00336729,126.642
1600,12.0,0.0254,39.6,0.0229028,122.216
400,6.0,0.0508,31.7,0.0289853,123.705
1600,0.0,0.1016,39.6,0.00146332,133.261
200,4.0,0.1524,39.6,0.0584113,114.75
4000,25.0,0.0254,55.5,0.0043284,131.582
315,6.0,0.0508,55.5,0.0271925,125.39
800,23.0,0.0508,71.3,0.00529514,127.556
200,12.0,0.0254,39.6,0.0229028,116.066
200,22.0,0.2286,71.3,0.0104404,138.758
8000,18.0,0.2286,71.3,0.0051942,114.9
4000,0.0,0.0508,31.7,0.000812164,134.11
6300,6.0,0.0508,31.7,0.0289853,108.185
250,26.0,0.1524,39.6,0.0233328,128.335
4000,0.0,0.3048,55.5,0.00283081,121.106
1000,26.0,0.1524,71.3,0.0193001,126.349
250,6.0,0.0508,31.7,0.0289853,121.225
10000,0.0,0.0508,39.6,0.000791822,125.998
1600,23.0,0.0508,39.6,0.00566229,130.965
8000,17.0,0.0254,39.6,0.000907475,131.346
500,19.0,0.1524,39.6,0.00485029,129.937
1250,1.0,0.3048,71.3,0.00336729,125.872
4000,0.0,0.1524,31.7,0.00209405,123.807
8000,15.0,0.2286,55.5,0.0042862,112.524
250,12.0,0.0254,39.6,0.0229028,117.386
1250,18.0,0.2286,71.3,0.0051942,133.38
10000,0.0,0.1524,39.6,0.00193287,115.413
1000,13.0,0.3048,39.6,0.00495741,128.312
800,6.0,0.0508,31.7,0.0289853,125.555
1000,12.0,0.0254,71.3,0.0214178,134.247
315,3.0,0.1016,39.6,0.0408268,129.415
1000,10.0,0.2286,31.7,0.00372371,130.307
800,15.0,0.2286,39.6,0.00473801,130.469
2000,13.0,0.3048,39.6,0.00495741,120.532
200,22.0,0.2286,39.6,0.0123481,130.989
6300,10.0,0.2286,55.5,0.00313525,118.712
400,7.0,0.1016,39.6,0.0528487,120.484
8000,11.0,0.1524,71.3,0.00243851,120.534
12500,0.0,0.0254,71.3,0.000400682,133.207
4000,11.0,0.1524,39.6,0.00294804,121.889
5000,6.0,0.0508,39.6,0.0282593,114.453
6300,14.0,0.1016,39.6,0.00245138,120.851
8000,0.0,0.1524,55.5,0.00172668,121.903
500,25.0,0.0254,31.7,0.00461377,126.886
4000,9.0,0.0508,71.3,0.0341183,113.045
630,3.0,0.1016,71.3,0.0337792,135.368
5000,15.0,0.2286,55.5,0.0042862,120.034
1600,0.0,0.0508,39.6,0.000791822,130.908
2500,19.0,0.1524,39.6,0.00485029,120.497
6300,0.0,0.2286,39.6,0.00253511,117.465
1000,0.0,0.2286,55.5,0.00229336,128.29
2000,20.0,0.1016,71.3,0.00478288,134.568
3150,21.0,0.1524,39.6,0.00909175,111.818
2500,3.0,0.1016,39.6,0.0408268,113.315
800,7.0,0.1016,71.3,0.0437259,124.188
2000,24.0,0.1016,39.6,0.0124596,119.04
400,19.0,0.1524,31.7,0.00525474,127.781
2500,14.0,0.1016,39.6,0.00245138,130.791
5000,0.0,0.1016,39.6,0.00146332,126.021
400,25.0,0.0254,31.7,0.00461377,124.756
8000,15.0,0.2286,39.6,0.00473801,113.129
6300,22.0,0.2286,39.6,0.0123481,110.839
8000,10.0,0.2286,71.3,0.00293031,115.996
200,26.0,0.1524,71.3,0.0193001,134.319
4000,13.0,0.3048,31.7,0.00529514,115.608
250,5.0,0.0254,71.3,0.0121808,119.698
1600,0.0,0.0508,31.7,0.000812164,131.01
6300,13.0,0.3048,55.5,0.00452492,115.679
250,6.0,0.0508,39.6,0.0282593,122.893
8000,5.0,0.0254,39.6,0.0130253,120.607
1000,0.0,0.1524,39.6,0.00193287,130.033
500,25.0,0.0254,39.6,0.00449821,123.894
1600,17.0,0.0254,31.7,0.000930789,128.718
8000,1.0,0.3048,39.6,0.00392107,112.251
1600,15.0,0.3048,39.6,0.00579636,123.213
630,6.0,0.0508,55.5,0.0271925,129.33
315,0.0,0.3048,31.7,0.00331266,122.765
800,0.0,0.3048,71.3,0.00266337,126.201
1250,0.0,0.1524,71.3,0.0015988,128.927
1600,14.0,0.1016,39.6,0.00245138,133.071
6300,25.0,0.0254,31.7,0.00461377,120.726
500,13.0,0.3048,31.7,0.00529514,127.548
200,0.0,0.3048,39.6,0.00310138,118.129
4000,3.0,0.1016,55.5,0.0368233,114.404
500,4.0,0.1524,39.6,0.0584113,114.9
800,19.0,0.1524,39.6,0.00485029,132.757
400,3.0,0.1016,39.6,0.0408268,128.265
3150,0.0,0.3048,55.5,0.00283081,123.236
4000,19.0,0.1524,71.3,0.00401199,121.431
2500,1.0,0.3048,71.3,0.00336729,124.512
400,10.0,0.2286,39.6,0.00346574,122.147
2500,23.0,0.0508,39.6,0.00566229,127.465
2500,0.0,0.1524,55.5,0.00172668,127.763
2500,11.0,0.1524,71.3,0.00243851,128.334
5000,3.0,0.1016,71.3,0.0337792,116.108
630,14.0,0.1016,55.5,0.002211,126.599
2000,3.0,0.1016,31.7,0.0418756,110.447
5000,25.0,0.0254,39.6,0.00449821,125.044
630,9.0,0.0508,71.3,0.0341183,128.365
500,7.0,0.1016,71.3,0.0437259,130.638
3150,0.0,0.1524,71.3,0.0015988,129.377
6300,4.0,0.1524,39.6,0.0584113,103.38
630,9.0,0.0508,39.6,0.036484,120.324
12500,17.0,0.0254,55.5,0.000873218,125.094
630,19.0,0.1524,31.7,0.00525474,131.471
6300,0.0,0.1524,55.5,0.00172668,123.303
1000,4.0,0.1524,39.6,0.0584113,114.67
6300,0.0,0.1016,55.5,0.00131983,127.73
1600,8.0,0.0254,55.5,0.0165706,126.471
1000,2.0,0.0508,39.6,0.0150478,132.43
4000,25.0,0.0254,39.6,0.00449821,127.864
8000,0.0,0.3048,31.7,0.00331266,110.515
2000,11.0,0.1524,39.6,0.00294804,128.139
1250,23.0,0.0508,71.3,0.00529514,132.086
1600,5.0,0.0254,39.6,0.0130253,129.977
250,5.0,0.0254,39.6,0.0130253,121.547
5000,6.0,0.0508,31.7,0.0289853,112.355
5000,0.0,0.2286,31.7,0.0027238,120.505
10000,16.0,0.0508,39.6,0.00152689,116.967
3150,0.0,0.1016,55.5,0.00131983,131.78
1250,19.0,0.1524,31.7,0.00525474,123.991
4000,3.0,0.1016,71.3,0.0337792,118.018
2000,23.0,0.0508,55.5,0.00544854,133.042
5000,14.0,0.1016,39.6,0.00245138,122.371
4000,14.0,0.1016,39.6,0.00245138,124.881
16000,0.0,0.1524,71.3,0.0015988,113.297
800,8.0,0.0254,31.7,0.0176631,139.226
2000,14.0,0.1016,39.6,0.00245138,132.301
1250,19.0,0.1524,71.3,0.00401199,134.111
4000,5.0,0.0254,39.6,0.0130253,126.537
800,0.0,0.0508,39.6,0.000791822,126.508
3150,0.0,0.0508,71.3,0.000740478,135.07
4000,3.0,0.1016,39.6,0.0408268,110.905
500,0.0,0.3048,31.7,0.00331266,127.315
20000,0.0,0.2286,71.3,0.00214345,114.474
1250,8.0,0.0254,55.5,0.0165706,129.301
1250,0.0,0.1016,71.3,0.00121072,130.335
2000,4.0,0.1524,71.3,0.0483159,117.504
1250,10.0,0.2286,71.3,0.00293031,128.816
2500,0.0,0.3048,39.6,0.00310138,121.399
5000,0.0,0.0254,55.5,0.00041229,135.803
1000,4.0,0.1524,71.3,0.0483159,122.044
2000,12.0,0.0254,39.6,0.0229028,121.256
20000,15.0,0.2286,71.3,0.00400603,109.638
2500,5.0,0.0254,39.6,0.0130253,129.027
630,0.0,0.1016,31.7,0.00150092,126.413
2000,14.0,0.1016,31.7,0.00251435,131.642
2500,6.0,0.0508,71.3,0.0264269,127.625
400,15.0,0.2286,31.7,0.00509068,126.149
3150,13.0,0.3048,55.5,0.00452492,120.189
500,22.0,0.2286,71.3,0.0104404,136.798
6300,18.0,0.2286,71.3,0.0051942,116.92
400,26.0,0.1524,31.7,0.0252785,128.939
250,22.0,0.2286,55.5,0.0111706,136.384
5000,22.0,0.2286,55.5,0.0111706,113.144
10000,1.0,0.3048,71.3,0.00336729,113.492
400,19.0,0.1524,71.3,0.00401199,124.121
2000,10.0,0.2286,55.5,0.00313525,124.612
10000,0.0,0.3048,71.3,0.00266337,115.391
800,0.0,0.1524,55.5,0.00172668,126.713
2000,26.0,0.1524,55.5,0.0208438,119.505
2500,19.0,0.1524,31.7,0.00525474,119.151
500,3.0,0.1016,55.5,0.0368233,133.774
6300,13.0,0.3048,31.7,0.00529514,109.718
800,11.0,0.1524,71.3,0.00243851,127.394
1250,22.0,0.2286,55.5,0.0111706,125.724
200,4.0,0.1524,71.3,0.0483159,128.354
1000,26.0,0.1524,39.6,0.0233328,123.835
1600,15.0,0.2286,71.3,0.00400603,129.468
3150,25.0,0.0254,31.7,0.00461377,128.536
10000,0.0,0.3048,39.6,0.00310138,112.139
2500,22.0,0.2286,71.3,0.0104404,122.088
6300,15.0,0.3048,71.3,0.00497773,116.165
2000,19.0,0.1524,71.3,0.00401199,131.111
4000,26.0,0.1524,55.5,0.0208438,112.945
630,0.0,0.2286,39.6,0.00253511,128.705
3150,17.0,0.0254,39.6,0.000907475,133.436
250,0.0,0.3048,39.6,0.00310138,119.319
800,0.0,0.1016,31.7,0.00150092,129.053
400,0.0,0.2286,55.5,0.00229336,121.66
6300,0.0,0.3048,31.7,0.00331266,113.775
8000,0.0,0.0254,39.6,0.000428464,135.866
800,23.0,0.0508,55.5,0.00544854,128.562
630,13.0,0.3048,31.7,0.00529514,128.698
3150,23.0,0.0508,39.6,0.00566229,123.965
10000,15.0,0.3048,71.3,0.00497773,110.905
4000,21.0,0.1524,39.6,0.00909175,114.258
2500,8.0,0.0254,71.3,0.016104,126.746
800,4.0,0.1524,39.6,0.0584113,116.56
2000,6.0,0.0508,39.6,0.0282593,123.443
5000,12.0,0.0254,71.3,0.0214178,125.727
1000,13.0,0.3048,55.5,0.00452492,129.329
630,25.0,0.0254,31.7,0.00461377,129.006
1250,22.0,0.2286,71.3,0.0104404,127.358
630,1.0,0.3048,39.6,0.00392107,128.311
10000,0.0,0.0254,71.3,0.000400682,130.787
500,8.0,0.0254,39.6,0.0172206,117.514
1250,8.0,0.0254,71.3,0.016104,126.356
1000,3.0,0.1016,31.7,0.0418756,119.777
315,10.0,0.2286,31.7,0.00372371,120.147
500,23.0,0.0508,39.6,0.00566229,122.905
400,0.0,0.3048,31.7,0.00331266,125.045
2500,7.0,0.1016,71.3,0.0437259,118.998
1250,13.0,0.3048,39.6,0.00495741,125.802
6300,10.0,0.2286,71.3,0.00293031,120.786
1000,0.0,0.1524,71.3,0.0015988,127.307
400,15.0,0.2286,39.6,0.00473801,123.879
5000,26.0,0.1524,55.5,0.0208438,112.065
800,11.0,0.1524,39.6,0.00294804,128.829
315,24.0,0.1016,39.6,0.0124596,135.38
800,0.0,0.2286,39.6,0.00253511,130.205
1250,0.0,0.0508,39.6,0.000791822,129.148
1000,26.0,0.1524,55.5,0.0208438,124.665
1600,15.0,0.2286,55.5,0.0042862,128.264
1600,26.0,0.1524,55.5,0.0208438,119.875
1600,21.0,0.1524,39.6,0.00909175,120.058
1600,0.0,0.3048,39.6,0.00310138,124.049
2500,10.0,0.2286,31.7,0.00372371,121.407
8000,8.0,0.0254,71.3,0.016104,115.466
4000,11.0,0.1524,71.3,0.00243851,126.534
5000,13.0,0.3048,55.5,0.00452492,117.309
2500,15.0,0.3048,71.3,0.00497773,123.775
250,4.0,0.1524,39.6,0.0584113,115.89
250,3.0,0.1016,55.5,0.0368233,133.294
800,22.0,0.2286,31.7,0.0132672,123.209
500,1.0,0.3048,39.6,0.00392107,126.661
1250,6.0,0.0508,31.7,0.0289853,123.255
4000,4.0,0.1524,39.6,0.0584113,104.5
1000,0.0,0.2286,39.6,0.00253511,130.435
6300,21.0,0.1524,71.3,0.00752039,116.603
500,10.0,0.2286,55.5,0.00313525,124.692
315,21.0,0.1524,71.3,0.00752039,128.713
200,3.0,0.1016,71.3,0.0337792,130.588
500,15.0,0.2286,39.6,0.00473801,127.039
8000,0.0,0.1524,31.7,0.00209405,117.957
2500,26.0,0.1524,55.5,0.0208438,118.365
630,20.0,0.1016,31.7,0.00592927,132.116
1000,20.0,0.1016,55.5,0.0052139,137.233
1250,8.0,0.0254,31.7,0.0176631,128.306
3150,24.0,0.1016,39.6,0.0124596,119.35
2000,14.0,0.1016,71.3,0.00202822,134.034
315,26.0,0.1524,55.5,0.0208438,132.355
500,13.0,0.3048,55.5,0.00452492,128.179
250,24.0,0.1016,71.3,0.0103088,134.533
1600,3.0,0.1016,39.6,0.0408268,117.875
5000,3.0,0.1016,39.6,0.0408268,108.625
800,9.0,0.0508,71.3,0.0341183,124.555
1600,15.0,0.2286,31.7,0.00509068,125.229
6300,0.0,0.0254,55.5,0.00041229,136.103
5000,16.0,0.0508,39.6,0.00152689,129.777
500,24.0,0.1016,39.6,0.0124596,133.79
800,20.0,0.1016,39.6,0.00578076,134.625
5000,17.0,0.0254,31.7,0.000930789,135.248
4000,13.0,0.3048,71.3,0.00425727,120.264
500,10.0,0.2286,39.6,0.00346574,125.157
400,21.0,0.1524,39.6,0.00909175,132.118
630,15.0,0.3048,39.6,0.00579636,131.073
315,0.0,0.2286,31.7,0.0027238,120.595
1250,0.0,0.1016,55.5,0.00131983,131.43
1600,0.0,0.3048,31.7,0.00331266,122.365
1000,14.0,0.1016,71.3,0.00202822,131.434
1000,20.0,0.1016,39.6,0.00578076,134.515
4000,6.0,0.0508,31.7,0.0289853,115.635
5000,0.0,0.3048,71.3,0.00266337,121.301
630,8.0,0.0254,55.5,0.0165706,122.411
3150,22.0,0.2286,39.6,0.0123481,114.309
3150,0.0,0.3048,71.3,0.00266337,125.201
1000,0.0,0.0508,55.5,0.00076193,125.586
1250,4.0,0.1524,71.3,0.0483159,120.154
315,1.0,0.3048,39.6,0.00392107,121.851
2000,0.0,0.2286,31.7,0.0027238,123.455
5000,14.0,0.1016,31.7,0.00251435,122.082
12500,1.0,0.3048,71.3,0.00336729,109.222
500,26.0,0.1524,71.3,0.0193001,131.279
1250,10.0,0.2286,39.6,0.00346574,128.257
1600,20.0,0.1016,39.6,0.00578076,127.375
800,13.0,0.3048,39.6,0.00495741,129.552
400,0.0,0.3048,39.6,0.00310138,124.809
5000,17.0,0.0254,55.5,0.000873218,135.484
500,6.0,0.0508,71.3,0.0264269,127.285
500,20.0,0.1016,31.7,0.00592927,130.206
4000,8.0,0.0254,39.6,0.0172206,122.724
4000,13.0,0.3048,39.6,0.00495741,116.792
5000,7.0,0.1016,39.6,0.0528487,106.224
2000,13.0,0.3048,31.7,0.00529514,120.088
4000,19.0,0.1524,55.5,0.00433288,119.737
6300,14.0,0.1016,71.3,0.00202822,124.904
8000,19.0,0.1524,55.5,0.00433288,114.927
2000,26.0,0.1524,39.6,0.0233328,117.925
6300,22.0,0.2286,55.5,0.0111706,111.534
315,6.0,0.0508,39.6,0.0282593,124.493
1000,0.0,0.1016,55.5,0.00131983,129.8
200,8.0,0.0254,31.7,0.0176631,116.146
630,0.0,0.1524,39.6,0.00193287,124.403
4000,0.0,0.2286,55.5,0.00229336,123.41
315,3.0,0.1016,31.7,0.0418756,124.717
