CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,__target__
2.086,1.501,0.766,0,0,3.909,6.093
3.86,0.223,1.429,0,0,2.502,3.919
2.928,1.131,0.908,0,2,3.508,5.86
3.103,0.134,1.016,0,0,2.193,3.22
3.023,0.56,1.349,1,0,1.239,3.917
2.24,0.405,1.203,0,0,-0.316,2.286
4.191,0.762,2.195,0,0,1.239,2.618
3.611,0.331,2.017,0,0,1.393,2.859
2.118,0.956,2.539,0,0,-0.406,3.845
2.98,0.251,1.959,0,0,-0.063,1.651
3.818,0.693,1.627,2,2,2.217,5.522
2.456,0.64,0.937,0,0,2.461,4.286
2.024,0.405,1.605,0,1,0.133,1.307
2.834,0.134,0.95,0,0,1.859,3.47
3.441,0.0,1.667,0,0,3.516,4.538
3.591,0.58,1.685,0,1,1.851,4.117
2.824,0.223,1.0,0,1,2.102,2.87
2.366,0.405,2.606,0,0,-0.128,1.037
2.216,0.582,0.839,0,0,2.127,3.62
2.0,0.693,1.128,2,2,-0.45,4.366
2.91,0.0,1.0,0,0,2.608,3.447
3.776,0.405,0.92,0,0,3.306,4.691
2.479,0.887,0.954,0,0,1.748,4.458
2.641,0.496,1.077,0,1,1.697,3.537
3.134,0.223,1.319,0,0,1.795,4.804
4.532,0.405,1.189,2,2,4.639,5.541
4.061,0.134,1.658,0,0,-0.294,3.151
3.423,1.19,1.993,0,4,-1.358,3.689
2.33,0.58,1.776,0,2,-0.741,0.89
4.181,0.57,1.383,0,0,4.379,6.213
2.111,0.134,1.253,0,0,0.468,2.914
2.216,0.582,0.839,0,0,2.127,4.353
3.353,0.405,1.418,1,1,1.878,5.018
1.925,1.318,0.595,0,0,3.764,4.705
1.251,0.251,1.126,0,0,-0.786,5.072
1.814,1.316,1.074,0,1,1.119,3.35
3.277,0.223,1.633,0,0,1.587,2.98
3.874,0.638,1.352,4,1,2.575,4.561
2.386,0.223,0.857,0,0,1.506,3.513
1.961,0.134,1.27,0,0,0.156,2.505
1.594,0.223,1.068,0,0,0.202,4.564
3.734,0.223,1.426,0,0,2.502,3.18
2.024,0.83,1.761,0,0,2.226,2.928
2.778,0.83,1.046,0,0,3.562,6.652
2.122,1.621,1.511,0,0,2.64,5.677
3.369,0.134,1.614,0,0,1.587,3.252
3.026,0.405,1.787,0,1,1.373,3.81
3.684,1.275,1.072,0,1,4.764,7.691
1.783,0.629,0.75,1,0,0.736,3.46
2.928,1.113,1.185,0,1,2.927,4.141
4.077,0.956,1.909,0,0,3.234,4.448
2.198,0.798,0.79,0,1,2.056,3.328
3.277,0.486,1.416,0,0,2.604,5.47
1.883,0.711,1.162,0,0,0.602,2.924
2.26,0.499,0.907,0,0,2.876,3.645
3.222,0.331,2.177,0,0,0.706,1.819
2.528,0.58,1.297,0,0,1.539,3.025
3.337,1.443,0.913,0,0,6.166,7.429
0.965,0.732,1.359,0,1,0.435,3.481
3.012,0.223,0.76,0,0,2.637,4.538
3.196,1.38,1.234,0,0,1.321,6.018
3.188,1.182,1.244,0,1,1.845,5.012
2.092,1.359,2.273,1,1,1.246,4.796
4.135,0.58,1.263,1,2,2.904,5.538
1.634,0.798,1.093,0,0,0.68,2.569
4.461,0.405,1.139,0,1,4.548,4.727
3.73,0.829,1.562,0,1,3.182,4.732
2.482,1.303,1.415,0,0,0.575,4.919
3.16,1.028,0.809,0,0,3.842,5.939
3.526,0.711,1.596,0,3,0.757,3.423
2.508,0.58,0.941,0,0,1.701,3.799
3.179,0.0,1.063,0,0,2.942,3.822
1.886,1.115,0.653,0,0,2.646,4.342
1.962,1.345,0.783,0,0,3.617,5.752
2.08,0.891,0.816,0,0,2.729,4.332
2.477,0.405,0.876,0,1,1.7,2.474
2.508,0.58,0.941,0,0,1.701,3.799
3.452,0.331,1.098,0,1,2.54,3.742
3.41,0.223,1.278,1,2,1.947,2.737
2.479,0.887,0.954,0,0,1.748,4.912
2.33,0.932,0.931,0,1,2.529,4.559
3.629,0.223,0.802,0,0,3.571,4.269
3.143,0.134,1.641,0,0,1.209,2.264
4.829,0.331,1.521,4,4,4.57,6.347
3.554,0.629,0.945,0,0,3.315,3.459
4.88,0.134,1.853,0,0,2.217,4.77
3.739,0.0,1.161,0,0,4.431,5.68
2.583,0.762,1.104,0,1,1.968,3.882
3.7,0.223,1.556,0,1,3.358,3.971
2.744,0.496,0.753,0,0,3.018,4.284
3.567,0.711,1.501,1,3,1.759,4.043
3.921,0.134,1.789,0,0,2.502,3.861
3.613,1.336,0.839,0,0,2.459,4.886
3.937,0.762,1.708,0,0,1.145,3.297
1.512,0.331,1.627,1,0,-0.386,2.891
2.019,1.317,0.77,0,0,3.617,5.93
3.159,0.965,1.584,0,2,1.121,3.77
2.508,0.58,0.941,0,0,1.701,3.345
2.374,1.16,0.979,0,1,3.818,5.048
2.834,0.134,1.009,0,0,2.066,3.448
3.2,0.711,1.235,0,3,0.779,2.681
3.103,0.134,1.016,0,0,2.193,3.21
2.118,0.934,0.913,1,0,2.956,4.988
2.085,0.56,2.451,0,0,-0.544,1.18
2.183,0.93,0.846,0,0,1.395,4.224
2.065,1.062,0.852,0,0,2.463,4.399
3.353,0.854,1.944,0,0,1.297,2.451
2.08,0.891,0.816,0,0,2.729,4.62
2.632,0.429,1.176,0,0,1.074,2.975
2.252,1.075,0.885,0,0,2.005,5.303
3.252,0.223,1.077,0,0,2.51,4.22
3.03,1.821,1.027,0,2,5.469,6.897
3.08,0.405,1.609,0,2,1.619,3.528
2.512,0.134,1.293,0,0,0.846,2.016
3.005,1.683,0.774,0,0,4.804,7.287
2.526,0.713,1.201,1,0,2.213,3.561
3.645,0.223,1.155,0,0,2.837,3.393
3.86,0.223,1.55,0,1,3.661,4.51
2.818,0.88,1.488,0,0,1.182,3.726
1.965,1.408,0.709,0,0,2.736,5.29
3.198,0.405,1.399,0,0,1.897,3.874
3.461,0.223,1.12,0,0,2.813,4.47
2.536,0.496,1.482,0,1,0.204,3.03
3.137,0.251,1.335,0,0,1.141,2.412
3.277,0.223,1.869,0,0,1.587,2.085
2.251,0.638,0.871,1,0,1.61,4.416
3.036,0.405,1.205,0,1,2.351,4.247
2.544,0.223,1.245,0,0,1.064,3.38
3.111,0.331,1.011,0,1,2.042,3.25
3.103,0.134,1.521,0,0,2.193,3.267
2.585,1.586,1.352,0,0,4.092,6.551
2.728,0.223,0.953,0,0,1.859,3.897
2.512,0.134,1.293,0,0,0.846,2.364
2.71,0.93,0.724,0,0,2.526,4.838
3.111,0.732,0.923,0,0,4.068,5.643
2.024,0.977,1.328,0,0,2.604,5.052
3.599,0.702,1.514,2,1,3.247,6.183
3.073,1.493,1.279,0,0,3.737,6.645
3.888,0.693,0.978,0,2,4.633,6.6
3.436,1.225,1.839,0,0,2.054,5.087
3.587,0.675,2.108,0,0,2.527,3.656
4.05,0.693,1.381,0,2,3.618,5.49
3.026,0.251,2.164,0,0,0.314,1.812
2.748,0.223,2.048,0,0,0.8,1.462
3.164,2.044,0.83,0,1,4.912,6.113
2.417,1.028,1.162,0,1,3.19,4.169
3.896,0.134,1.984,0,0,2.591,3.45
2.57,1.028,2.137,0,0,1.466,2.973
2.216,0.582,1.287,0,0,1.467,2.74
3.315,0.223,0.799,0,0,3.127,4.507
3.079,0.429,2.135,0,0,-0.521,1.308
2.726,0.496,1.179,0,1,1.06,2.126
2.019,1.126,0.793,0,0,3.314,5.001
2.824,0.223,1.0,1,0,2.102,3.36
3.52,0.223,1.59,0,0,1.882,2.883
3.316,0.223,1.571,1,0,1.795,3.979
2.855,1.331,1.325,0,2,0.454,7.045
3.465,0.0,0.837,0,0,3.876,4.809
2.62,0.499,0.99,0,0,3.21,4.23
3.358,1.348,1.328,0,0,1.89,3.852
2.43,0.496,0.946,0,0,2.241,3.66
2.359,0.405,0.814,0,0,0.893,3.314
4.258,0.223,1.538,0,1,4.506,5.741
2.726,0.496,1.179,0,1,1.06,2.269
4.278,0.405,1.345,0,0,3.546,4.668
3.69,1.159,1.295,0,2,4.449,5.749
1.783,0.57,1.187,1,0,2.033,6.064
2.818,0.83,1.386,0,0,2.899,3.92
5.158,0.134,1.791,0,0,3.118,6.04
2.801,0.728,2.226,0,2,0.736,3.109
3.199,0.56,2.033,0,0,-0.129,1.02
0.965,0.64,1.695,0,1,0.202,3.272
3.332,0.134,1.294,0,0,2.242,3.374
2.555,1.11,1.686,0,0,0.289,2.601
3.0,0.0,0.938,1,0,2.851,3.513
4.536,0.223,1.29,0,0,4.907,6.634
2.094,0.827,0.86,0,0,1.886,4.239
3.605,0.0,1.15,0,0,3.562,4.829
2.43,0.496,0.849,0,1,1.237,3.133
3.333,0.405,0.963,1,0,2.974,4.632
4.086,0.452,1.843,0,0,0.37,3.463
3.378,1.38,1.25,0,0,1.654,5.933
3.113,1.593,1.319,1,1,4.038,6.143
2.309,0.762,0.845,1,0,1.091,3.601
2.876,0.928,1.372,0,1,1.737,6.148
2.374,0.811,0.817,1,0,2.841,5.277
3.24,0.56,0.889,0,0,2.214,4.544
2.765,0.331,0.951,0,1,1.49,2.55
2.479,0.887,0.954,0,0,1.748,4.181
2.987,1.076,0.921,0,1,3.318,6.077
2.993,0.811,1.232,0,2,-0.059,5.395
2.233,0.64,0.92,1,0,2.37,4.75
3.461,0.223,1.12,0,0,2.813,4.463
2.086,0.64,0.838,0,0,2.127,3.995
2.548,0.947,1.051,1,0,1.66,3.588
2.309,0.907,0.871,0,0,3.046,3.775
1.961,0.134,1.215,1,0,0.548,2.567
2.215,0.887,0.888,0,0,1.395,4.33
4.532,0.405,1.189,1,4,4.639,5.307
3.314,0.331,1.397,3,0,2.048,4.473
3.023,0.56,1.168,1,0,1.239,3.278
2.034,0.64,1.727,0,0,0.8,2.072
3.734,0.223,1.45,2,1,2.642,3.84
2.971,0.972,1.255,0,2,2.052,4.565
3.979,1.306,1.404,0,1,5.176,4.239
3.08,0.223,1.385,0,0,1.195,2.07
1.634,0.713,1.19,0,0,1.313,2.056
3.201,0.693,2.004,0,0,-0.937,0.33
3.222,1.501,0.872,0,0,5.149,5.861
3.641,1.192,1.481,0,1,3.16,5.052
2.728,0.223,0.953,0,0,1.591,2.371
3.501,0.405,1.585,1,1,2.27,5.147
4.216,0.223,1.248,0,0,4.177,5.78
2.477,0.83,0.983,0,0,3.795,4.54
4.36,0.405,1.228,1,2,4.235,6.665
2.216,0.679,0.764,0,0,2.296,3.559
3.315,0.223,1.1,1,0,2.723,4.35
1.094,1.236,1.461,0,1,0.996,1.911
1.774,0.429,2.299,0,0,-0.41,1.897
3.332,0.134,0.909,0,0,3.051,4.891
2.938,1.385,1.225,0,2,1.02,4.593
2.803,1.501,1.124,0,0,4.053,5.385
2.685,0.405,1.145,0,0,1.246,3.11
3.11,0.0,1.079,2,0,2.42,3.974
2.125,0.638,0.831,0,0,1.348,3.531
2.866,0.223,1.288,0,0,1.442,1.906
3.74,0.134,1.581,0,0,2.274,3.721
3.316,0.223,1.571,1,0,1.795,3.854
2.512,0.134,0.862,0,0,1.506,3.078
2.755,0.405,1.559,0,1,0.996,3.123
2.512,0.223,0.929,1,0,1.769,3.919
3.578,0.496,1.406,0,1,2.391,4.32
2.815,0.56,1.585,1,1,0.43,4.59
3.143,0.134,1.641,0,0,1.209,2.692
1.439,1.079,1.867,0,0,2.226,3.213
4.223,0.638,1.117,0,1,3.557,8.169
4.311,1.496,0.964,0,0,3.522,5.19
2.971,0.859,2.162,0,0,2.273,4.499
3.315,0.916,1.753,0,2,-0.439,2.501
2.297,0.762,0.798,0,0,2.841,3.608
4.285,0.134,1.551,0,0,4.379,6.255
3.08,0.223,1.583,0,1,1.442,3.061
2.866,0.223,1.333,0,1,1.05,2.27
3.029,0.331,2.13,0,1,0.967,1.885
2.684,0.988,1.226,0,1,3.076,4.404
1.713,1.098,1.752,0,0,-0.297,3.046
2.429,0.405,1.954,0,0,-0.473,0.931
2.435,1.113,1.109,0,1,2.354,2.839
2.019,1.317,1.288,0,0,2.689,4.368
2.375,1.026,1.09,0,1,2.553,3.895
2.834,0.134,1.322,0,0,1.199,2.413
3.749,0.331,1.278,0,0,2.773,4.777
2.019,1.126,0.793,0,0,3.314,4.737
4.305,0.223,1.348,3,2,3.909,5.192
1.965,0.405,1.169,1,0,-0.145,3.66
3.924,0.693,1.707,0,2,2.314,4.713
1.855,1.179,1.44,0,0,1.587,2.838
2.728,0.223,0.953,0,0,1.859,3.29
3.668,0.134,1.132,0,0,2.502,3.782
2.62,0.499,0.99,0,0,2.942,4.402
3.389,0.223,0.849,0,1,3.587,4.108
4.073,0.693,1.171,0,2,4.091,5.224
4.395,0.134,1.546,0,0,4.651,6.484
3.134,0.223,1.319,0,0,1.795,2.739
2.359,0.405,0.814,0,0,0.893,4.287
2.333,0.251,2.327,0,0,-0.241,3.884
3.175,0.859,2.095,0,0,2.59,4.095
2.079,0.988,0.836,0,1,2.481,2.608
4.436,0.764,1.227,0,1,5.258,5.412
2.477,0.405,0.876,1,0,1.667,4.725
3.252,0.134,0.875,0,0,2.859,5.292
1.925,1.16,0.801,0,0,3.314,5.192
3.26,0.251,1.287,0,1,1.994,2.745
1.439,1.079,1.867,0,0,2.226,3.402
3.676,0.405,1.524,0,1,2.289,3.976
3.905,0.56,1.399,1,0,2.65,4.947
3.323,1.232,1.134,0,0,4.207,6.525
2.086,0.331,1.221,1,0,0.143,3.815
1.523,1.028,1.512,0,1,0.996,2.693
2.08,0.764,0.788,0,0,1.514,4.961
3.52,0.223,1.562,0,1,2.129,3.446
3.08,0.223,1.583,1,0,1.442,3.757
2.926,0.582,1.939,0,0,1.548,3.046
2.802,0.223,1.6,1,0,1.064,3.937
3.014,0.56,1.987,0,1,0.538,3.496
2.034,0.64,1.727,0,0,0.8,2.586
2.396,1.593,1.351,0,0,3.32,6.023
2.448,0.638,0.921,0,0,1.701,3.521
4.216,0.223,1.248,0,0,5.089,5.896
1.925,1.364,0.421,0,0,4.19,5.591
3.073,0.693,1.851,0,2,0.787,4.016
2.448,0.638,1.121,0,0,1.701,2.904
1.962,1.345,0.783,0,0,3.617,5.352
4.219,1.033,0.963,0,1,4.246,9.354
1.667,1.278,1.5,0,2,2.459,3.955
2.031,0.872,1.475,0,1,0.202,6.424
2.233,0.64,0.92,0,1,2.102,3.615
2.126,0.251,1.114,0,0,0.143,2.157
1.822,0.829,0.834,0,0,2.509,3.933
2.937,0.499,0.8,0,0,3.945,4.849
3.788,0.693,1.365,0,2,2.576,4.664
2.238,1.513,2.078,0,0,0.489,4.513
3.405,0.251,1.56,0,0,1.272,4.132
1.417,0.898,0.648,0,0,2.042,4.421
2.507,0.405,1.5,2,0,0.076,3.936
2.137,0.223,1.375,3,0,0.548,4.865
2.377,0.827,0.938,0,0,2.239,5.005
4.268,0.916,1.19,0,2,1.936,7.849
3.316,0.223,1.571,0,1,1.795,2.856
4.356,1.028,1.224,0,1,5.741,5.758
3.739,0.0,1.25,2,2,3.267,4.638
4.285,0.134,1.71,0,0,3.467,5.38
2.217,0.659,0.788,0,0,1.758,3.727
3.78,0.0,1.182,0,0,3.854,4.938
2.878,0.134,1.684,0,0,0.8,2.425
4.324,0.0,1.205,0,1,4.738,4.302
1.359,0.134,1.13,1,0,0.094,3.47
2.359,0.405,0.814,0,0,0.893,6.4
3.669,0.486,1.374,0,0,3.291,3.701
2.508,0.58,0.941,0,0,1.701,3.789
3.98,0.223,1.723,0,0,2.894,4.703
2.824,0.223,1.0,1,0,2.102,3.56
2.377,0.827,0.938,0,0,2.239,3.759
3.961,0.405,1.083,1,0,3.987,5.842
3.155,0.638,2.128,0,0,-0.937,1.102
3.08,0.223,1.583,0,1,1.442,2.271
1.818,0.134,1.445,0,0,0.202,1.559
2.462,0.223,1.625,1,0,0.655,3.654
2.026,0.223,1.667,1,0,0.202,2.65
4.237,0.223,1.565,0,0,4.379,5.268
4.288,0.865,1.327,0,0,4.295,5.642
3.177,0.918,1.919,0,0,2.031,4.116
2.215,0.887,0.888,0,0,1.395,3.932
2.931,1.71,0.935,2,2,5.124,7.017
2.43,0.496,0.946,0,0,2.241,3.568
2.118,0.956,1.643,0,0,-2.03,3.638
3.351,0.496,1.466,0,0,1.097,2.392
1.279,1.327,1.284,0,0,2.2,4.697
1.832,1.209,1.364,0,0,-0.792,3.828
3.247,0.638,0.889,0,1,2.922,4.68
3.867,0.0,1.4,2,0,3.659,5.678
2.802,0.223,1.6,0,1,1.064,1.748
2.778,0.405,1.17,1,0,1.49,2.93
3.69,0.223,1.062,0,0,2.726,3.599
4.05,0.693,1.381,0,2,3.618,5.667
1.126,1.079,1.44,1,1,2.081,3.47
2.085,1.079,0.895,0,0,4.063,4.74
2.086,1.685,0.396,0,0,4.594,6.72
1.594,0.223,1.333,2,0,0.094,6.297
2.824,0.223,1.051,0,0,1.801,3.168
2.983,0.496,2.106,0,0,-0.521,1.68
2.366,0.405,1.735,0,0,-0.534,0.242
2.62,0.288,0.839,0,0,3.045,3.753
3.003,0.134,1.032,0,0,2.152,4.171
2.094,0.827,0.86,0,0,1.886,5.449
2.469,0.582,0.913,0,0,2.688,4.002
4.372,0.134,1.254,0,0,5.339,6.569
2.348,0.762,0.85,0,0,2.621,3.769
2.126,0.405,1.69,1,1,0.479,3.573
3.402,0.604,1.517,0,0,3.451,5.086
3.026,0.405,1.548,0,1,1.373,2.84
3.526,0.711,1.586,0,3,1.569,3.66
2.8,0.693,1.091,0,1,1.437,3.603
3.57,1.374,2.259,0,0,2.05,6.083
1.831,1.182,1.901,0,2,0.158,1.234
3.393,1.292,2.122,0,3,1.595,3.477
1.733,1.077,0.81,0,0,3.11,4.63
3.174,1.586,0.91,2,2,5.361,7.382
3.67,0.728,2.11,0,3,2.288,2.964
2.442,0.934,0.984,0,1,2.991,4.208
2.802,0.223,1.6,1,0,1.064,3.825
3.179,0.0,1.063,0,0,2.942,3.811
3.74,0.134,1.581,0,0,3.186,4.396
3.103,0.134,1.344,0,0,1.533,3.174
2.297,0.762,0.798,0,0,2.841,3.555
2.634,0.223,0.939,0,0,1.834,3.926
2.495,0.56,0.835,0,1,1.643,1.969
3.001,0.651,0.781,0,0,4.203,5.262
2.982,0.496,1.151,0,1,1.783,3.522
3.739,0.0,0.7,0,0,4.76,7.346
2.309,0.762,1.118,0,2,-0.129,2.715
3.509,0.854,1.478,0,0,2.248,2.832
3.609,0.811,1.208,0,0,3.291,4.38
1.786,0.702,1.081,0,0,-1.265,8.132
4.255,1.695,1.087,0,0,2.294,4.475
1.429,0.223,1.804,0,0,-0.564,2.72
3.63,0.134,1.476,0,0,3.358,4.305
1.962,1.345,0.783,0,0,3.617,5.348
3.08,0.405,1.609,1,1,1.619,4.786
4.05,0.693,1.381,0,2,3.618,5.367
3.049,0.762,1.258,0,2,1.996,4.369
3.361,0.223,1.437,1,2,2.021,3.168
2.429,0.83,1.696,0,0,2.604,3.391
4.005,0.223,1.545,0,1,3.953,5.055
2.439,0.93,0.924,0,0,1.748,5.007
2.542,0.429,1.891,0,0,0.562,2.12
2.477,0.83,0.983,0,0,3.795,4.743
3.252,0.499,0.832,0,0,4.416,4.384
2.978,1.246,1.103,0,1,3.988,6.535
2.126,0.251,1.719,0,0,0.087,2.458
2.423,0.949,1.15,0,0,1.94,2.44
3.832,0.223,1.587,0,0,3.503,4.41
3.316,0.223,1.571,0,1,1.795,2.94
2.857,0.973,1.838,0,2,1.121,5.311
3.532,0.134,1.11,0,0,2.813,4.165
3.098,0.93,1.075,0,0,2.702,5.65
2.085,1.079,0.895,0,0,4.063,4.89
3.057,1.636,0.995,0,2,4.452,8.433
1.636,0.331,1.265,1,1,-0.38,2.766
2.665,0.251,1.762,0,0,-0.534,1.795
2.26,1.443,0.902,0,0,4.926,6.006
3.027,0.331,1.011,0,1,1.807,3.009
2.344,0.582,1.59,0,0,1.467,3.109
3.444,0.88,1.466,0,3,1.95,4.004
2.834,0.134,0.95,0,0,1.859,2.827
2.875,0.582,2.311,0,0,1.587,3.075
3.609,0.811,1.189,0,0,3.291,5.115
4.137,0.223,1.542,0,1,4.234,5.194
2.495,0.56,0.835,1,0,1.099,4.023
3.249,2.071,1.327,0,0,3.948,6.446
2.719,0.891,2.292,0,0,1.94,3.289
3.52,0.223,1.562,1,0,2.129,3.629
3.323,0.405,1.17,0,2,2.592,4.577
3.332,0.134,1.068,0,0,2.242,3.806
2.868,1.286,1.294,0,0,1.919,4.809
2.594,0.251,0.861,0,0,1.68,3.112
3.618,0.842,1.686,0,2,1.661,5.184
2.216,0.582,0.839,0,0,2.127,3.979
3.465,0.0,0.963,4,0,3.267,3.407
3.426,0.693,1.488,0,1,1.294,3.025
3.596,0.972,0.941,0,1,4.179,4.828
2.309,0.907,0.871,0,0,3.046,3.782
3.332,0.134,1.519,0,0,2.242,3.554
3.055,1.273,1.132,0,0,2.931,5.393
2.878,0.134,2.102,0,0,0.8,1.932
2.544,0.223,1.245,0,0,1.064,1.408
2.218,0.923,1.074,0,0,0.291,3.237
3.957,0.223,1.269,2,3,2.998,4.577
3.087,0.223,0.96,1,0,2.42,3.979
2.251,0.638,0.871,1,0,1.61,4.021
4.566,0.357,1.394,4,1,3.903,6.923
3.376,1.278,0.915,0,0,5.934,4.862
1.883,0.916,1.207,0,1,1.188,1.153
2.888,0.405,1.472,1,2,1.522,5.105
3.219,0.405,1.605,0,0,0.706,1.134
2.377,0.331,2.111,0,0,-0.534,2.156
3.179,0.0,1.063,0,0,2.942,4.091
3.369,0.134,1.614,0,0,1.587,2.226
2.565,0.452,1.529,0,0,0.242,2.115
2.377,0.827,0.938,0,0,2.239,3.91
4.166,0.134,1.556,0,0,4.098,5.912
2.111,1.477,1.298,0,0,3.225,5.73
3.035,0.223,1.662,0,0,1.209,2.217
3.921,0.251,1.398,0,0,1.622,3.416
3.588,0.251,1.506,0,0,1.564,3.57
